d_bar,winner,win,d_call,d_inner,exp
wilson leung,defendant,1,2008,,10
elizabeth cheung,plaintiff,0,2007,,11
jin pao,plaintiff,0,2002,,16
adrian huggins qc,defendant,1,1977,,41
david rex boyton,defendant,1,1997,,21
vincent chiu,plaintiff,0,2016,,2
tony ng,defendant,1,1994,,24
in person,defendant,1,2018,,0
wilson leung,plaintiff,0,2008,,10
anthony p w cheung,plaintiff,0,1992,,26
in person,defendant,1,2018,,0
dixon co,plaintiff,0,2012,,6
c y li sc,plaintiff,0,1975,False,43
c y li sc,plaintiff,0,1975,False,43
matthew ngai,defendant,1,2013,,5
elizabeth cheung,defendant,1,2007,,11
adrian leung,defendant,1,2006,,12
adrian leung,defendant,1,2006,,12
chan hon piu,plaintiff,0,1982,,36
jonathan y h chan,defendant,1,1995,,23
justin cheung,plaintiff,0,2011,,7
wong ka lam king,defendant,1,1989,,29
joseph wong,defendant,1,2015,,3
jethro pak,defendant,1,2018,,0
keith lam shing loi,defendant,1,2009,,9
anthony cheung,defendant,1,1992,,26
kevin hon,plaintiff,0,1990,,28
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
b k ho,defendant,1,1977,,41
in person,defendant,1,2018,,0
martin kok,defendant,1,2014,,4
bosco cheng,defendant,1,2007,,11
lincoln cheung,plaintiff,0,2010,,8
devin sio,plaintiff,0,2011,,7
lee tung ming,plaintiff,0,1994,,24
